Year;Food_Source;Amount (m)
2009;PORK;90928171.5
2009;BEEF;46099552
2009;LAYERS;31100000
2009;BROILERS;26580904.5
2009;DUCK;403698
2009;IMP_PORK;43651806
2009;IMP_BEEF;51305993.5
2009;IMP_CHICK;21333407.5
2009;IMP_DUCK;4370019
2009;IMP_TURKEY;2437732.5
2010;PORK;90930660.5
2010;BEEF;46101118
2010;LAYERS;31101230
2010;BROILERS;26582393.5
2010;DUCK;403818
2010;IMP_PORK;43657206
2010;IMP_BEEF;51311262.5
2010;IMP_CHICK;21336663.5
2010;IMP_DUCK;4370143
2010;IMP_TURKEY;2437901.5
2011;PORK;90930330.5
2011;BEEF;46103236
2011;LAYERS;31101459
2011;BROILERS;26583451.5
2011;DUCK;403843
2011;IMP_PORK;43657406
2011;IMP_BEEF;51310778.5
2011;IMP_CHICK;21338981.5
2011;IMP_DUCK;4370166
2011;IMP_TURKEY;2437946.5
